Time,MeanN,ErrorMn,CV2N,ErrorCV2
2.0400000000000005,4.151,0.10778983236080109,0.17493086943549524,0.02519195419178087
2.0500000000000003,4.175,0.1083991886077964,0.1748861558320485,0.025184350587532253
2.06,4.208,0.10904376463941112,0.1742073761367086,0.025068978129509974
2.07,4.233,0.10918462964153353,0.1726007991053164,0.02479631879828452
2.08,4.272,0.10924295368898118,0.16964486105850832,0.024296171535145475
2.0899999999999994,4.304,0.109833580661169,0.16894373350285372,0.024177830257759752
2.099999999999999,4.319,0.11007293278368646,0.16850430323407706,0.024103717038374453
2.109999999999999,4.346,0.11016123267095868,0.16668420893240876,0.02379721300006348
2.1199999999999988,4.38,0.11095122346594799,0.16646858906194617,0.023760952727960596
2.1299999999999986,4.416,0.11076596480485357,0.16321905849611426,0.023215779921896548
2.1399999999999983,4.44,0.11148496247912387,0.16356221085950814,0.02327323561946281
2.149999999999998,4.466,0.11187229491167106,0.1627885988958923,0.02314374444236477
2.159999999999998,4.484,0.11192224453112676,0.16162850010464405,0.022949820878163676
2.1699999999999977,4.513,0.11199260122455623,0.15975862919387568,0.022637909591481594
2.179999999999997,4.549,0.11181637655723264,0.15674557314189191,0.022137025968240326
2.1899999999999973,4.583,0.11263233841960041,0.15669055383029304,0.022127899533355262
2.199999999999997,4.625,0.11374362749023881,0.15690869247626005,0.02216408790088546
2.209999999999997,4.656,0.11457575694271238,0.157099880728853,0.022195814528552835
2.2199999999999966,4.691,0.11484214981778695,0.15548485397797032,0.021928081302025573
2.2299999999999964,4.721,0.11507083316783451,0.1541270417354467,0.02170346613358959
2.239999999999996,4.762,0.11594178375153508,0.15378624808856198,0.021647159366091656
2.249999999999996,4.784,0.11657155413082432,0.15403491012404782,0.021688241194634566
2.259999999999996,4.811,0.11719706886102355,0.15394979486705124,0.021674177518002317
2.269999999999996,4.842,0.11752152588099918,0.15282753259932497,0.021488906503841148
2.279999999999996,4.878,0.11798113111279651,0.15176018508852576,0.021312980400569184
2.289999999999995,4.919,0.11852423980919102,0.1506180568387384,0.021125031089554797
2.299999999999995,4.953,0.1189843777027697,0.14971301605982568,0.020976319944720264
2.3099999999999947,4.979,0.11920718435661115,0.14870889146344754,0.020811559335438972
